"Date","Price","Open","High","Low","Vol.","Change %"
"07/25/2025","21,108.32","21,059.94","21,159.80","21,036.85","1.39B","0.24%"
"07/24/2025","21,057.96","21,083.82","21,113.10","21,001.68","1.59B","0.18%"
"07/23/2025","21,020.02","20,966.47","21,023.85","20,870.67","1.59B","0.61%"
"07/22/2025","20,892.69","20,982.21","20,985.34","20,750.90","1.60B","-0.39%"
"07/21/2025","20,974.18","20,960.33","21,077.37","20,957.44","1.70B","0.38%"
"07/18/2025","20,895.65","20,959.57","20,980.56","20,846.12","1.59B","0.05%"
"07/17/2025","20,885.65","20,760.32","20,911.83","20,735.55","1.74B","0.75%"
"07/16/2025","20,730.49","20,717.81","20,751.05","20,507.06","1.50B","0.25%"
"07/15/2025","20,677.80","20,822.76","20,836.04","20,670.58","1.38B","0.18%"
"07/14/2025","20,640.33","20,592.56","20,672.34","20,492.63","1.38B","0.27%"
"07/11/2025","20,585.53","20,562.88","20,647.97","20,509.75","1.31B","-0.22%"
"07/10/2025","20,630.66","20,636.48","20,655.39","20,495.14","1.43B","0.09%"
"07/09/2025","20,611.34","20,522.09","20,645.41","20,486.38","1.41B","0.94%"
"07/08/2025","20,418.46","20,466.93","20,480.89","20,377.36","1.50B","0.03%"
"07/07/2025","20,412.52","20,490.55","20,511.82","20,323.02","1.45B","-0.92%"
"07/03/2025","20,601.10","20,497.66","20,624.51","20,480.22","974.43M","1.02%"
"07/02/2025","20,393.13","20,184.37","20,397.22","20,181.74","1.42B","0.94%"
"07/01/2025","20,202.89","20,290.61","20,339.05","20,105.41","1.46B","-0.82%"
"06/30/2025","20,369.73","20,360.15","20,418.31","20,266.36","1.58B","0.47%"
"06/27/2025","20,273.46","20,217.26","20,311.51","20,095.05","3.66B","0.52%"
"06/26/2025","20,167.91","20,062.19","20,187.15","19,982.48","1.42B","0.97%"
"06/25/2025","19,973.55","20,013.95","20,052.78","19,918.08","1.28B","0.31%"
"06/24/2025","19,912.53","19,809.62","19,946.72","19,795.29","1.45B","1.43%"
"06/23/2025","19,630.97","19,427.01","19,643.70","19,334.98","1.40B","0.94%"
"06/20/2025","19,447.41","19,639.41","19,696.11","19,380.58","2.83B","-0.51%"
"06/18/2025","19,546.27","19,526.92","19,660.77","19,489.56","1.33B","0.13%"
"06/17/2025","19,521.09","19,627.08","19,666.56","19,485.44","1.37B","-0.91%"
"06/16/2025","19,701.21","19,550.75","19,733.31","19,550.75","1.36B","1.52%"
"06/13/2025","19,406.83","19,450.93","19,591.87","19,367.42","1.28B","-1.30%"
"06/12/2025","19,662.48","19,578.87","19,690.61","19,553.56","1.40B","0.24%"
"06/11/2025","19,615.88","19,779.36","19,800.46","19,551.35","1.43B","-0.50%"
"06/10/2025","19,714.99","19,620.11","19,730.38","19,539.09","1.43B","0.63%"
"06/09/2025","19,591.24","19,573.14","19,637.56","19,531.10","1.41B","0.31%"
"06/06/2025","19,529.95","19,526.99","19,593.18","19,464.84","1.21B","1.20%"
"06/05/2025","19,298.45","19,518.20","19,610.51","19,226.21","1.37B","-0.83%"
"06/04/2025","19,460.49","19,434.94","19,493.45","19,359.09","1.21B","0.32%"
"06/03/2025","19,398.96","19,288.66","19,459.28","19,224.70","1.32B","0.81%"
"06/02/2025","19,242.61","19,063.06","19,252.71","18,985.30","1.27B","0.67%"
"05/30/2025","19,113.77","19,131.22","19,157.78","18,847.74","2.09B","-0.32%"
"05/29/2025","19,175.87","19,389.39","19,389.39","19,091.54","1.33B","0.39%"
"05/28/2025","19,100.94","19,232.62","19,276.83","19,084.38","1.24B","-0.51%"
"05/27/2025","19,199.16","19,014.44","19,210.95","18,961.69","1.39B","2.47%"
"05/23/2025","18,737.21","18,622.38","18,841.52","18,599.69","1.21B","-1.00%"
"05/22/2025","18,925.73","18,888.05","19,061.11","18,840.34","1.31B","0.28%"
"05/21/2025","18,872.64","19,002.94","19,241.41","18,799.20","1.49B","-1.41%"
"05/20/2025","19,142.71","19,132.06","19,186.69","19,015.63","1.29B","-0.38%"
"05/19/2025","19,215.46","18,937.42","19,227.22","18,937.42","1.56B","0.02%"
"05/16/2025","19,211.10","19,151.54","19,213.42","19,038.48","1.61B","0.52%"
"05/15/2025","19,112.32","19,031.24","19,207.22","18,967.78","1.47B","-0.18%"
"05/14/2025","19,146.81","19,074.72","19,174.55","19,023.61","1.62B","0.72%"
"05/13/2025","19,010.09","18,761.23","19,065.96","18,745.50","1.56B","1.61%"
"05/12/2025","18,708.34","18,674.55","18,710.22","18,472.71","1.76B","4.35%"
"05/09/2025","17,928.92","18,022.55","18,068.90","17,853.84","1.37B","0.00%"
"05/08/2025","17,928.14","17,920.15","18,096.00","17,776.00","1.46B","1.07%"
"05/07/2025","17,738.16","17,706.83","17,820.29","17,503.01","1.43B","0.27%"
"05/06/2025","17,689.66","17,623.21","17,830.35","17,592.88","1.23B","-0.87%"
"05/05/2025","17,844.24","17,817.01","17,965.64","17,792.08","1.14B","-0.74%"
"05/02/2025","17,977.73","17,868.76","18,048.83","17,812.04","1.30B","1.51%"
"05/01/2025","17,710.74","17,793.14","17,922.83","17,688.11","1.27B","1.52%"
"04/30/2025","17,446.34","17,099.98","17,483.82","16,959.53","1.48B","-0.09%"
"04/29/2025","17,461.32","17,270.76","17,500.41","17,256.20","1.33B","0.55%"
"04/28/2025","17,366.13","17,390.93","17,467.35","17,128.71","1.27B","-0.10%"
"04/25/2025","17,382.94","17,182.11","17,404.49","17,110.72","1.17B","1.26%"
"04/24/2025","17,166.04","16,754.76","17,174.35","16,744.97","1.30B","2.74%"
"04/23/2025","16,708.05","16,880.29","17,029.86","16,642.66","1.41B","2.50%"
"04/22/2025","16,300.42","16,079.94","16,410.56","16,038.73","1.20B","2.71%"
"04/21/2025","15,870.90","16,052.76","16,066.79","15,685.33","1.14B","-2.55%"
"04/17/2025","16,286.45","16,399.97","16,408.51","16,181.17","1.25B","-0.13%"
"04/16/2025","16,307.16","16,499.69","16,600.37","16,066.46","1.34B","-3.07%"
"04/15/2025","16,823.17","16,842.39","16,979.96","16,753.21","1.16B","-0.05%"
"04/14/2025","16,831.48","17,120.44","17,136.55","16,661.26","1.36B","0.64%"
"04/11/2025","16,724.46","16,358.53","16,753.41","16,228.04","1.53B","2.06%"
"04/10/2025","16,387.31","16,635.45","16,712.37","15,894.26","1.88B","-4.31%"
"04/09/2025","17,124.97","15,295.44","17,202.94","15,270.28","2.71B","12.16%"
"04/08/2025","15,267.91","16,181.04","16,316.50","15,053.39","1.92B","-2.15%"
"04/07/2025","15,603.26","14,978.03","16,292.28","14,784.03","2.41B","0.10%"
"04/04/2025","15,587.79","16,045.60","16,128.16","15,575.68","2.15B","-5.82%"
"04/03/2025","16,550.61","16,790.53","16,889.34","16,533.04","1.72B","-5.97%"
"04/02/2025","17,601.05","17,207.01","17,716.52","17,181.27","8.41B","0.87%"
"04/01/2025","17,449.89","17,221.55","17,506.59","17,149.36","1.30B","0.87%"
"03/31/2025","17,299.29","17,045.44","17,334.98","16,854.37","1.62B","-0.14%"
"03/28/2025","17,322.99","17,722.09","17,763.28","17,283.06","1.28B","-2.70%"
"03/27/2025","17,804.03","17,811.24","17,988.02","17,743.80","1.19B","-0.53%"
"03/26/2025","17,899.02","18,217.33","18,236.55","17,837.26","1.26B","-2.04%"
"03/25/2025","18,271.86","18,207.97","18,281.13","18,170.42","1.20B","0.46%"
"03/24/2025","18,188.59","18,046.19","18,210.05","18,030.68","1.34B","2.27%"
"03/21/2025","17,784.05","17,519.84","17,798.06","17,474.81","3.33B","0.52%"
"03/20/2025","17,691.63","17,586.06","17,903.20","17,576.82","1.19B","-0.33%"
"03/19/2025","17,750.79","17,590.12","17,917.54","17,533.94","1.27B","1.41%"
"03/18/2025","17,504.12","17,662.57","17,682.92","17,431.67","1.19B","-1.71%"
"03/17/2025","17,808.66","17,722.54","17,925.94","17,645.87","1.22B","0.31%"
"03/14/2025","17,754.09","17,523.30","17,773.48","17,491.08","1.26B","2.61%"
"03/13/2025","17,303.01","17,598.56","17,621.91","17,239.44","1.26B","-1.96%"
"03/12/2025","17,648.45","17,711.41","17,800.10","17,436.27","1.41B","1.22%"
"03/11/2025","17,436.10","17,443.09","17,687.40","17,238.24","1.56B","-0.18%"
"03/10/2025","17,468.32","17,840.32","17,868.07","17,291.82","1.65B","-4.00%"
"03/07/2025","18,196.22","18,029.85","18,243.58","17,768.59","1.44B","0.70%"
"03/06/2025","18,069.26","18,204.53","18,439.24","17,980.39","1.45B","-2.61%"
"03/05/2025","18,552.73","18,312.96","18,604.47","18,144.73","1.38B","1.46%"
"03/04/2025","18,285.16","18,176.43","18,589.49","17,956.60","1.65B","-0.35%"
"03/03/2025","18,350.19","18,923.36","18,992.30","18,216.63","1.56B","-2.64%"
"02/28/2025","18,847.28","18,477.17","18,861.33","18,372.99","1.96B","1.63%"
"02/27/2025","18,544.42","19,212.36","19,242.69","18,535.22","1.47B","-2.78%"
"02/26/2025","19,075.26","19,109.32","19,286.02","18,966.46","1.32B","0.26%"
"02/25/2025","19,026.39","19,242.61","19,256.35","18,871.52","1.51B","-1.35%"
"02/24/2025","19,286.93","19,590.85","19,644.23","19,275.46","1.46B","-1.21%"
"02/21/2025","19,524.01","20,006.69","20,016.66","19,510.91","1.55B","-2.20%"
"02/20/2025","19,962.36","20,029.19","20,041.15","19,795.02","1.29B","-0.47%"
"02/19/2025","20,056.25","19,994.50","20,099.39","19,928.89","1.36B","0.07%"
"02/18/2025","20,041.26","20,090.55","20,110.12","19,909.74","1.49B","0.07%"
"02/14/2025","20,026.77","19,956.82","20,045.76","19,932.15","1.36B","0.41%"
"02/13/2025","19,945.64","19,696.92","19,952.17","19,675.87","1.40B","1.50%"
"02/12/2025","19,649.95","19,436.51","19,682.51","19,415.48","1.33B","0.03%"
"02/11/2025","19,643.86","19,602.11","19,731.93","19,579.77","1.31B","-0.36%"
"02/10/2025","19,714.27","19,668.18","19,772.04","19,650.79","1.34B","0.98%"
"02/07/2025","19,523.40","19,774.87","19,862.54","19,489.36","1.28B","-1.36%"
"02/06/2025","19,791.99","19,725.83","19,793.36","19,654.11","1.22B","0.51%"
"02/05/2025","19,692.33","19,533.05","19,696.94","19,498.90","1.24B","0.19%"
"02/04/2025","19,654.02","19,422.17","19,666.44","19,408.18","1.19B","1.35%"
"02/03/2025","19,391.96","19,215.38","19,502.13","19,141.15","1.36B","-1.20%"
"01/31/2025","19,627.44","19,832.33","19,969.17","19,575.21","1.44B","-0.28%"
"01/30/2025","19,681.75","19,697.53","19,785.79","19,483.83","1.25B","0.25%"
"01/29/2025","19,632.32","19,695.68","19,699.82","19,479.51","1.16B","-0.51%"
"01/28/2025","19,733.59","19,418.22","19,759.43","19,294.62","1.34B","2.03%"
"01/27/2025","19,341.83","19,234.04","19,514.35","19,204.95","1.68B","-3.07%"
"01/24/2025","19,954.30","20,087.11","20,118.61","19,897.13","1.27B","-0.50%"
"01/23/2025","20,053.68","19,906.99","20,053.68","19,892.55","1.20B","0.22%"
"01/22/2025","20,009.34","19,903.05","20,068.52","19,903.05","1.32B","1.28%"
"01/21/2025","19,756.78","19,734.39","19,789.63","19,551.17","1.44B","0.64%"
"01/17/2025","19,630.20","19,655.55","19,709.64","19,543.32","1.38B","1.51%"
"01/16/2025","19,338.29","19,573.87","19,579.85","19,335.68","1.22B","-0.89%"
"01/15/2025","19,511.23","19,350.31","19,548.90","19,299.32","1.36B","2.45%"
"01/14/2025","19,044.39","19,207.75","19,273.14","18,926.60","1.24B","-0.23%"
"01/13/2025","19,088.10","18,903.66","19,099.97","18,831.91","1.42B","-0.38%"
"01/10/2025","19,161.63","19,312.26","19,315.11","19,018.75","1.47B","-1.63%"
"01/08/2025","19,478.88","19,469.37","19,544.51","19,308.54","1.45B","-0.06%"
"01/07/2025","19,489.68","19,938.08","19,940.21","19,421.02","1.64B","-1.89%"
"01/06/2025","19,864.98","19,851.99","20,007.95","19,784.99","1.59B","1.24%"
"01/03/2025","19,621.68","19,395.51","19,638.66","19,379.57","1.31B","1.77%"
"01/02/2025","19,280.79","19,403.90","19,517.87","19,117.59","1.30B","-0.16%"
"12/31/2024","19,310.79","19,551.36","19,563.72","19,283.41","1.35B","-0.90%"
"12/30/2024","19,486.79","19,460.41","19,622.93","19,342.51","1.30B","-1.19%"
"12/27/2024","19,722.03","19,896.77","19,904.77","19,553.40","1.28B","-1.49%"
"12/26/2024","20,020.36","19,979.25","20,070.08","19,888.11","1.03B","-0.05%"
"12/24/2024","20,031.13","19,818.48","20,031.13","19,813.76","711.22M","1.35%"
"12/23/2024","19,764.88","19,641.05","19,772.10","19,504.68","1.26B","0.98%"
"12/20/2024","19,572.60","19,190.04","19,758.61","19,168.38","3.70B","1.03%"
"12/19/2024","19,372.77","19,565.66","19,623.02","19,357.76","1.51B","-0.10%"
"12/18/2024","19,392.69","20,114.98","20,179.77","19,336.59","1.79B","-3.56%"
"12/17/2024","20,109.06","20,095.62","20,148.83","20,004.73","1.53B","-0.32%"
"12/16/2024","20,173.89","20,016.12","20,204.58","19,988.12","1.51B","1.24%"
"12/13/2024","19,926.72","19,995.18","20,061.65","19,817.47","1.17B","0.12%"
"12/12/2024","19,902.84","19,947.34","20,018.24","19,897.38","1.15B","-0.66%"
"12/11/2024","20,034.89","19,832.96","20,055.93","19,830.64","1.31B","1.77%"
"12/10/2024","19,687.24","19,796.39","19,887.08","19,641.34","1.28B","-0.25%"
"12/09/2024","19,736.69","19,824.09","19,872.79","19,698.05","1.46B","-0.62%"
"12/06/2024","19,859.77","19,743.96","19,863.14","19,734.42","1.23B","0.81%"
"12/05/2024","19,700.72","19,756.40","19,790.03","19,688.59","1.27B","-0.17%"
"12/04/2024","19,735.12","19,587.48","19,741.76","19,575.39","1.27B","1.30%"
"12/03/2024","19,480.91","19,364.34","19,486.14","19,340.41","1.13B","0.40%"
"12/02/2024","19,403.95","19,255.43","19,436.92","19,255.43","1.25B","0.97%"
"11/29/2024","19,218.17","19,087.47","19,245.49","19,066.52","797.08M","0.83%"
"11/27/2024","19,060.48","19,132.99","19,133.11","18,937.20","1.03B","-0.60%"
"11/26/2024","19,175.58","19,109.08","19,184.40","19,100.73","1.12B","0.63%"
"11/25/2024","19,054.84","19,140.59","19,208.68","18,969.35","1.91B","0.27%"
"11/22/2024","19,003.65","18,966.32","19,025.77","18,899.48","1.19B","0.16%"
"11/21/2024","18,972.42","19,072.78","19,110.89","18,714.06","1.26B","0.03%"
"11/20/2024","18,966.14","18,971.31","18,974.91","18,724.39","1.13B","-0.11%"
"11/19/2024","18,987.47","18,699.71","18,992.08","18,689.83","1.15B","1.04%"
"11/18/2024","18,791.81","18,717.93","18,865.28","18,672.30","1.24B","0.60%"
"11/15/2024","18,680.12","18,929.92","18,936.75","18,598.87","1.37B","-2.24%"
"11/14/2024","19,107.65","19,256.09","19,275.80","19,073.39","1.28B","-0.64%"
"11/13/2024","19,230.72","19,286.46","19,358.48","19,191.13","1.39B","-0.26%"
"11/12/2024","19,281.40","19,289.81","19,343.05","19,168.52","1.32B","-0.09%"
"11/11/2024","19,298.76","19,355.34","19,366.07","19,193.29","1.33B","0.06%"
"11/08/2024","19,286.78","19,255.14","19,318.56","19,224.43","1.31B","0.09%"
"11/07/2024","19,269.46","19,084.43","19,301.70","19,084.43","1.43B","1.51%"
"11/06/2024","18,983.46","18,772.76","19,000.50","18,730.21","1.64B","2.95%"
"11/05/2024","18,439.17","18,250.71","18,449.68","18,250.71","1.07B","1.43%"
"11/04/2024","18,179.98","18,220.43","18,308.30","18,112.83","1.04B","-0.33%"
"11/01/2024","18,239.92","18,189.67","18,363.94","18,181.53","1.05B","0.80%"
"10/31/2024","18,095.15","18,427.31","18,427.31","18,083.95","1.31B","-2.76%"
"10/30/2024","18,607.93","18,731.69","18,785.49","18,598.24","1.16B","-0.56%"
"10/29/2024","18,712.75","18,576.09","18,753.19","18,509.59","1.12B","0.78%"
"10/28/2024","18,567.19","18,648.25","18,671.01","18,563.02","1.03B","0.26%"
"10/25/2024","18,518.61","18,512.58","18,690.01","18,487.06","976.29M","0.56%"
"10/24/2024","18,415.49","18,384.15","18,435.37","18,305.42","977.77M","0.76%"
"10/23/2024","18,276.65","18,502.06","18,509.19","18,146.61","1.02B","-1.60%"
"10/22/2024","18,573.13","18,451.86","18,620.71","18,413.47","949.37M","0.18%"
"10/21/2024","18,540.01","18,456.48","18,543.58","18,377.63","1.01B","0.27%"
"10/18/2024","18,489.55","18,466.01","18,524.33","18,452.58","1.01B","0.63%"
"10/17/2024","18,373.61","18,537.21","18,541.46","18,368.79","1.03B","0.04%"
"10/16/2024","18,367.08","18,333.29","18,383.11","18,214.96","1.01B","0.28%"
"10/15/2024","18,315.59","18,515.97","18,564.25","18,252.52","1.15B","-1.01%"
"10/14/2024","18,502.69","18,426.66","18,547.91","18,423.60","901.62M","0.87%"
"10/11/2024","18,342.94","18,217.73","18,375.53","18,208.44","912.77M","0.33%"
"10/10/2024","18,282.05","18,200.62","18,333.39","18,154.18","957.62M","-0.05%"
"10/09/2024","18,291.62","18,179.22","18,302.05","18,133.02","898.50M","0.60%"
"10/08/2024","18,182.92","18,017.93","18,203.04","17,989.70","944.80M","1.45%"
"10/07/2024","17,923.90","18,080.12","18,096.33","17,900.04","1.01B","-1.18%"
"10/04/2024","18,137.85","18,130.42","18,145.28","17,952.30","950.41M","1.22%"
"10/03/2024","17,918.48","17,859.49","18,011.25","17,826.42","908.71M","-0.04%"
"10/02/2024","17,925.12","17,867.12","17,978.57","17,767.79","985.44M","0.08%"
"10/01/2024","17,910.36","18,154.94","18,162.72","17,779.77","1.11B","-1.53%"
"09/30/2024","18,189.17","18,069.83","18,198.16","17,997.56","1.20B","0.38%"
"09/27/2024","18,119.59","18,228.78","18,238.28","18,069.18","1.02B","-0.39%"
"09/26/2024","18,190.29","18,327.34","18,327.34","18,071.74","1.10B","0.60%"
"09/25/2024","18,082.21","18,050.36","18,155.04","18,040.62","958.50M","0.04%"
"09/24/2024","18,074.52","18,046.44","18,091.96","17,863.38","1.09B","0.56%"
"09/23/2024","17,974.27","17,994.90","18,021.57","17,936.37","1.05B","0.14%"
"09/20/2024","17,948.32","17,999.35","18,024.34","17,835.64","3.61B","-0.36%"
"09/19/2024","18,013.98","17,980.89","18,099.93","17,909.75","1.17B","2.51%"
"09/18/2024","17,573.30","17,663.38","17,832.70","17,556.43","1.09B","-0.31%"
"09/17/2024","17,628.06","17,707.02","17,781.74","17,544.64","940.89M","0.20%"
"09/16/2024","17,592.13","17,573.70","17,618.40","17,480.66","876.14M","-0.52%"
"09/13/2024","17,683.98","17,575.26","17,719.14","17,564.61","927.28M","0.65%"
"09/12/2024","17,569.68","17,413.89","17,605.72","17,338.32","952.15M","1.00%"
"09/11/2024","17,395.53","17,061.41","17,420.23","16,787.84","1.10B","2.17%"
"09/10/2024","17,025.88","16,949.64","17,036.07","16,801.13","936.37M","0.84%"
"09/09/2024","16,884.60","16,835.67","16,923.28","16,732.84","1.04B","1.16%"
"09/06/2024","16,690.83","17,137.62","17,166.54","16,668.57","1.08B","-2.55%"
"09/05/2024","17,127.66","17,063.24","17,295.58","17,035.07","933.23M","0.25%"
"09/04/2024","17,084.30","17,015.71","17,232.65","16,984.67","966.70M","-0.30%"
"09/03/2024","17,136.30","17,585.45","17,585.45","17,057.79","1.17B","-3.26%"
"08/30/2024","17,713.62","17,650.49","17,720.38","17,498.79","1.36B","1.13%"
"08/29/2024","17,516.43","17,610.57","17,789.21","17,482.60","974.88M","-0.23%"
"08/28/2024","17,556.03","17,738.80","17,759.94","17,439.40","949.55M","-1.12%"
"08/27/2024","17,754.82","17,655.52","17,789.72","17,573.37","799.40M","0.16%"
"08/26/2024","17,725.77","17,867.85","17,909.09","17,645.69","924.58M","-0.85%"
"08/23/2024","17,877.79","17,772.73","17,941.27","17,700.27","1.00B","1.47%"
"08/22/2024","17,619.35","17,993.72","18,017.69","17,589.15","938.95M","-1.67%"
"08/21/2024","17,918.99","17,840.51","17,963.07","17,790.98","892.18M","0.57%"
"08/20/2024","17,816.94","17,849.09","17,932.53","17,758.20","905.04M","-0.33%"
"08/19/2024","17,876.77","17,649.74","17,877.44","17,585.58","1.01B","1.39%"
"08/16/2024","17,631.72","17,516.40","17,674.65","17,502.82","989.75M","0.21%"
"08/15/2024","17,594.50","17,394.54","17,602.72","17,375.41","1.13B","2.34%"
"08/14/2024","17,192.60","17,227.64","17,260.73","17,032.17","948.92M","0.03%"
"08/13/2024","17,187.61","16,944.73","17,192.79","16,943.95","1.07B","2.43%"
"08/12/2024","16,780.61","16,793.64","16,895.79","16,699.39","4.10B","0.21%"
"08/09/2024","16,745.30","16,636.52","16,789.22","16,574.57","1.01B","0.51%"
"08/08/2024","16,660.02","16,408.27","16,694.25","16,262.93","1.17B","2.87%"
"08/07/2024","16,195.81","16,622.31","16,709.81","16,179.53","1.22B","-1.05%"
"08/06/2024","16,366.86","16,261.36","16,620.31","16,137.65","1.19B","1.03%"
"08/05/2024","16,200.08","15,712.53","16,453.46","15,708.54","1.53B","-3.43%"
"08/02/2024","16,776.16","16,780.45","16,920.63","16,582.79","1.34B","-2.43%"
"08/01/2024","17,194.14","17,647.03","17,791.59","17,051.42","1.32B","-2.30%"
"07/31/2024","17,599.40","17,499.23","17,693.98","17,438.60","1.34B","2.64%"
"07/30/2024","17,147.42","17,424.10","17,468.56","17,015.38","1.11B","-1.28%"
"07/29/2024","17,370.20","17,444.39","17,535.32","17,299.83","909.68M","0.07%"
"07/26/2024","17,357.88","17,331.95","17,454.57","17,239.99","972.96M","1.03%"
"07/25/2024","17,181.72","17,352.64","17,544.46","17,033.96","1.20B","-0.93%"
"07/24/2024","17,342.41","17,733.91","17,747.06","17,313.52","1.19B","-3.64%"
"07/23/2024","17,997.35","17,982.74","18,128.38","17,968.10","960.97M","-0.06%"
"07/22/2024","18,007.57","17,923.64","18,040.99","17,839.76","1.04B","1.58%"
"07/19/2024","17,726.94","17,835.59","17,935.14","17,691.43","1.12B","-0.81%"
"07/18/2024","17,871.22","18,119.15","18,130.87","17,759.54","1.13B","-0.70%"
"07/17/2024","17,996.93","18,188.19","18,223.24","17,972.87","1.26B","-2.77%"
"07/16/2024","18,509.34","18,534.27","18,576.83","18,386.07","1.12B","0.20%"
"07/15/2024","18,472.57","18,485.91","18,641.53","18,397.83","1.08B","0.40%"
"07/12/2024","18,398.45","18,303.64","18,556.73","18,293.60","1.10B","0.63%"
"07/11/2024","18,283.41","18,659.25","18,671.07","18,238.78","1.23B","-1.95%"
"07/10/2024","18,647.45","18,512.09","18,655.19","18,467.58","971.36M","1.18%"
"07/09/2024","18,429.29","18,465.02","18,511.89","18,381.60","914.80M","0.14%"
"07/08/2024","18,403.74","18,371.86","18,416.94","18,342.60","984.76M","0.28%"
"07/05/2024","18,352.76","18,200.60","18,366.31","18,197.13","963.80M","0.90%"
"07/03/2024","18,188.30","18,016.12","18,188.30","18,016.12","692.06M","0.88%"
"07/02/2024","18,028.76","17,808.04","18,031.29","17,802.24","932.12M","0.84%"
"07/01/2024","17,879.30","17,773.90","17,894.28","17,657.64","1.03B","0.83%"
"06/28/2024","17,732.60","17,891.10","18,035.00","17,723.83","3.78B","-0.71%"
"06/27/2024","17,858.68","17,793.95","17,892.78","17,765.42","1.05B","0.30%"
"06/26/2024","17,805.16","17,697.27","17,813.55","17,687.07","1.04B","0.49%"
"06/25/2024","17,717.65","17,572.16","17,734.35","17,546.63","1.08B","1.26%"
"06/24/2024","17,496.82","17,640.26","17,730.12","17,494.02","1.14B","-1.09%"
"06/21/2024","17,689.36","17,681.01","17,787.34","17,620.57","3.54B","-0.18%"
"06/20/2024","17,721.59","17,913.94","17,936.79","17,650.70","1.26B","-0.79%"
"06/18/2024","17,862.23","17,856.76","17,890.52","17,796.88","1.11B","0.03%"
"06/17/2024","17,857.02","17,697.30","17,935.98","17,636.36","1.04B","0.95%"
"06/14/2024","17,688.88","17,621.18","17,693.43","17,590.80","965.43M","0.12%"
"06/13/2024","17,667.56","17,715.27","17,741.80","17,566.32","981.98M","0.34%"
"06/12/2024","17,608.44","17,502.15","17,725.39","17,490.64","1.13B","1.53%"
"06/11/2024","17,343.55","17,160.42","17,345.05","17,107.99","941.87M","0.88%"
"06/10/2024","17,192.53","17,083.45","17,213.45","17,057.34","1.01B","0.35%"
"06/07/2024","17,133.13","17,124.13","17,229.31","17,090.04","897.39M","-0.23%"
"06/06/2024","17,173.12","17,204.87","17,235.73","17,123.59","940.92M","-0.09%"
"06/05/2024","17,187.90","16,974.48","17,187.92","16,955.56","1.01B","1.96%"
"06/04/2024","16,857.05","16,823.88","16,891.87","16,750.39","975.74M","0.17%"
"06/03/2024","16,828.67","16,865.70","16,909.89","16,646.43","1.06B","0.56%"
"05/31/2024","16,735.02","16,771.90","16,789.27","16,445.54","1.81B","-0.01%"
"05/30/2024","16,737.08","16,878.63","16,900.46","16,690.36","1.11B","-1.08%"
"05/29/2024","16,920.58","16,879.35","16,989.60","16,873.97","1.15B","-0.58%"
"05/28/2024","17,019.88","16,988.31","17,032.65","16,917.51","1.10B","0.59%"
"05/24/2024","16,920.79","16,786.79","16,947.79","16,771.58","953.61M","1.10%"
"05/23/2024","16,736.03","16,996.38","16,996.38","16,678.37","1.21B","-0.39%"
"05/22/2024","16,801.54","16,839.02","16,855.27","16,712.09","1.15B","-0.18%"
"05/21/2024","16,832.62","16,736.10","16,839.02","16,719.97","1.02B","0.22%"
